gene_id,s1,s10,s11,s12,s2,s3,s4,s5,s6,s7,s8,s9
Dnajc5,3091,3337,2958,2399,2615,2404,2730,2995,3236,2374,5144,3106
Zfp804a,0,2,0,0,0,0,0,0,0,0,0,0
Kcnk15,0,0,0,0,0,0,0,0,0,0,2,0
Dnajc1,2544,2821,2593,1708,2078,1895,2255,2283,2400,1763,3894,2835
Mir3960,14,9,5,11,5,3,13,5,2,3,11,17
Cerkl,2,12,20,8,5,4,7,9,7,5,5,23
9230102O04Rik,0,0,0,0,0,0,0,0,0,0,0,0
Neb,44,35,41,54,44,22,111,42,30,33,147,50
Olfr1029,0,1,0,1,1,0,0,0,0,0,0,0
Olfr48,0,0,0,0,0,0,0,0,0,0,0,0
Psmb7,1510,2047,1646,1198,1359,1291,1513,2046,2486,1683,3313,1765
Lhx2,0,0,0,0,0,0,0,0,2,0,0,0
Lhx3,0,0,0,0,0,0,0,0,0,0,0,4
Lhx6,0,0,3,0,3,0,0,6,6,0,9,0
Cd59a,1267,1436,1111,721,1211,865,1153,828,939,811,1529,1156
Cd59b,44,104,57,36,44,66,87,43,75,61,108,51
Edem2,856,1034,888,832,759,698,677,938,1087,689,1801,1040
Pcif1,1653,2004,1546,1428,1345,1217,1259,1298,1328,1031,2072,1876
Trib3,71,76,94,104,72,57,65,68,65,63,171,114
Slmo2,587,677,600,448,556,437,593,804,957,581,1303,599
Gm13769,0,0,0,0,0,0,0,0,0,0,0,0
Kynu,0,0,0,0,0,0,0,0,0,0,0,0
Ntmt1,477,569,429,402,403,400,423,582,616,357,865,569
Mrps26,680,719,666,568,577,497,566,647,696,440,975,727
Il1f6,0,0,0,0,0,0,0,0,0,0,0,0
Dtd1,535,695,550,377,515,431,490,437,461,326,701,641
Stk4,1081,1120,1004,827,941,817,887,1022,1242,833,1753,1165
Gm13546,0,0,0,0,0,0,0,0,0,0,0,0
Snora65,38,31,43,37,49,26,37,32,60,30,89,26
Sema6d,499,649,641,549,545,624,596,446,557,370,616,682
Nat10,897,1066,859,824,799,640,797,825,1082,737,1658,974
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0,0
Hnf4aos,0,0,0,0,0,0,0,0,0,0,0,0
Gm13490,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc8,3,3,5,3,0,6,0,0,0,2,7,5
Gm13497,0,0,0,0,0,0,0,0,0,0,0,0
Gm13498,1056,1429,1377,834,1042,800,1028,1425,1868,867,2253,1254
Wfdc3,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc2,18,94,38,12,27,87,44,26,58,13,63,50
Wfdc5,0,0,0,0,0,0,0,0,0,0,0,0
1700026L06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Dlx1as,0,0,0,0,0,0,0,0,0,0,0,0
4933416E03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa8,881,1060,860,724,813,720,814,1064,1239,855,1636,1049
Ppp4r1l-ps,278,334,272,318,252,203,298,207,193,217,443,289
Rae1,962,1080,894,737,829,737,813,878,962,658,1482,1032
Ada,75,88,71,68,45,55,56,184,237,194,338,98
Ankrd63,6,6,2,3,3,8,2,4,2,2,2,8
Ankrd60,0,0,0,0,0,0,0,0,0,0,0,0
Gm4724,0,0,0,0,0,0,0,0,0,0,459,0
Zfp334,583,641,559,454,460,362,462,445,632,326,812,592
Ccdc73,0,0,0,0,0,0,0,0,0,0,0,0
Ssna1,524,645,547,479,528,389,544,581,757,428,872,622
Slc32a1,0,0,0,0,0,0,0,0,0,0,0,0
Rabepk,308,380,358,256,306,257,279,360,491,277,604,415
Ntsr1,0,0,0,0,0,0,0,0,0,0,0,0
Adam33,259,431,309,615,465,336,419,169,235,171,358,479
Tspan18,895,1219,1049,1016,965,1028,1043,692,727,551,1005,1252
Nfatc2,99,87,55,75,84,84,81,67,50,47,98,85
Chmp4b,4404,4948,4117,3298,3872,3383,4144,4547,5150,3838,7767,4725
Tfpi,2652,3319,2333,1257,2285,1908,2300,2194,2628,1332,3595,2489
Tbc1d13,1434,1578,1406,1154,1409,1186,1333,1580,1711,1069,2365,1579
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0,0
Fam102a,1408,1537,1412,1112,1342,1142,1323,1429,1650,1261,2373,1495
Nusap1,40,45,39,27,41,26,46,142,353,180,225,46
Barhl1,0,0,0,0,0,0,0,2,0,0,0,0
Avp,0,0,0,0,0,0,0,0,0,0,0,0
Gpr107,2307,2543,2297,1681,2033,1787,2069,2284,2716,1778,3707,2593
Thbd,32454,28141,26936,21191,26116,26279,25362,16729,13187,9909,21686,34266
Odf2,1382,1666,1333,1292,1268,1165,1404,1394,1551,1125,2615,1527
Olfr1170,0,0,0,0,0,0,0,0,0,0,0,0
Srsf6,4724,5445,4173,4254,4418,3380,4329,4280,4788,3238,7444,4501
Olfr1176,0,0,0,0,0,0,0,0,0,0,0,0
Rps21,6274,8764,7451,5997,6271,5796,6248,7014,8153,5025,9934,7541
Olfr1178,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1179,0,0,0,0,0,0,0,0,0,0,0,0
Dhtkd1,191,277,167,171,156,155,118,114,89,121,189,204
